SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_YEAR
22015,1610612747,LAL,Los Angeles Lakers,0021500697,2016-01-28,LAL vs. CHI,L,242,91,32,85,0.376,9,25,0.36,18,23,0.783,11,30,41,21,6,4,14,17,-23.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500683,2016-01-26,LAL vs. DAL,L,242,90,30,74,0.405,7,25,0.28,23,28,0.821,8,39,47,15,4,7,12,25,-2.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500662,2016-01-23,LAL @ POR,L,241,103,34,69,0.493,7,17,0.412,28,32,0.875,4,26,30,14,4,6,18,20,-18.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500653,2016-01-22,LAL vs. SAS,L,239,95,38,84,0.452,6,16,0.375,13,18,0.722,12,33,45,19,3,5,11,12,-13.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500638,2016-01-20,LAL vs. SAC,L,240,93,32,90,0.356,4,25,0.16,25,31,0.806,12,29,41,17,6,5,9,22,-19.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500614,2016-01-17,LAL vs. HOU,L,239,95,37,82,0.451,6,19,0.316,15,19,0.789,3,33,36,25,8,7,14,16,-17.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500608,2016-01-16,LAL @ UTA,L,241,82,31,90,0.344,9,23,0.391,11,18,0.611,16,28,44,16,4,4,14,14,-27.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500592,2016-01-14,LAL @ GSW,L,242,98,40,90,0.444,4,23,0.174,14,24,0.583,16,31,47,17,13,3,21,19,-18.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500576,2016-01-12,LAL vs. NOP,W,240,95,32,87,0.368,6,29,0.207,25,32,0.781,11,36,47,16,7,4,8,17,4.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500565,2016-01-10,LAL vs. UTA,L,241,74,29,89,0.326,3,21,0.143,13,15,0.867,16,25,41,15,9,4,11,22,-12.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500549,2016-01-08,LAL vs. OKC,L,239,113,40,84,0.476,9,26,0.346,24,25,0.96,10,24,34,19,9,5,11,22,-4.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500539,2016-01-07,LAL @ SAC,L,240,115,41,76,0.539,8,24,0.333,25,29,0.862,6,27,33,20,10,4,18,26,-3.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500524,2016-01-05,LAL vs. GSW,L,241,88,29,91,0.319,5,21,0.238,25,30,0.833,15,37,52,15,7,4,12,16,-21.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500510,2016-01-03,LAL vs. PHX,W,240,97,38,84,0.452,8,22,0.364,13,17,0.765,9,45,54,26,8,7,15,16,20.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500494,2016-01-01,LAL vs. PHI,W,240,93,33,87,0.379,5,16,0.313,22,29,0.759,13,37,50,17,11,6,10,17,9.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500476,2015-12-30,LAL @ BOS,W,240,112,43,94,0.457,9,19,0.474,17,23,0.739,13,39,52,22,5,2,10,22,8.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500458,2015-12-28,LAL @ CHA,L,240,98,35,85,0.412,9,29,0.31,19,23,0.826,6,35,41,24,7,4,11,17,-10.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500455,2015-12-27,LAL @ MEM,L,240,96,32,84,0.381,8,29,0.276,24,32,0.75,18,28,46,16,6,5,13,18,-16.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500440,2015-12-25,LAL vs. LAC,L,241,84,32,77,0.416,7,23,0.304,13,25,0.52,6,34,40,17,10,2,15,13,-10.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500435,2015-12-23,LAL vs. OKC,L,241,85,32,89,0.36,7,25,0.28,14,22,0.636,12,23,35,19,6,5,10,18,-35.0,2015
